Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CYM,,,,,,,,,,,,,,,,,71482.57395,73489.35203,72475.45189,65869.76169,63305.11705,64014.74282,62795.90211,62440.00804,63067.41952,64233.53429,66639.55055,69753.08956,73550.41797,76836.49896,72481.01386,
CYP,13341.12305,13539.23535,14751.74316,14844.28809,15727.12598,17087.04492,17314.87305,17780.68359,18758.69727,19662.71484,21288.50977,22861.88477,23556.4082,24279.67773,25944.85352,27763.1543,30015.41406,32881.54688,34830.23438,33884.87891,33423.5,33313.57813,31834.51758,30375.0918,30080.23047,31815.27344,35719.15234,38287.96875,40559.125,42338.87891,39593.42578,42556.10938
CZE,12717.96987,11648.85354,11841.85562,12117.44965,12731.67043,13852.1499,14685.69353,14824.65952,14977.72206,15396.31178,16235.48063,17621.05413,18252.57277,19538.0704,20932.07842,22095.38785,23923.70388,26282.37549,27974.48713,27761.50915,27881.968,29001.36804,29254.73127,30818.10816,32502.47535,33899.28657,36097.70526,38824.88792,41135.49298,42847.00474,41608.02535,44260.85647
DEU,19452.5734,20984.24987,21709.50134,21862.80218,22784.58147,23552.25332,24071.8978,24572.68842,25345.06446,26291.21108,27199.04409,28368.54328,29178.63747,29908.13953,31333.8363,31794.09601,34160.34493,36287.48224,37802.38743,36815.84405,38952.6946,42541.53109,43359.61483,44993.89275,47011.55109,47609.781,50579.68393,53071.45557,55235.3663,55652.88749,54844.54597,57927.59007
DJI,,,,,,,,,,,,,,,,,,,,,,,,4103.941204,4289.03425,4563.377343,4695.100996,4904.976636,5180.596948,5482.012136,5532.682123,5925.795296
DMA,4294.108408,4502.033404,4686.823326,4882.793513,4972.911508,5226.58347,5500.801093,5745.579928,6064.678166,6203.297516,6508.887799,6649.275928,6546.056166,7072.803673,7453.924085,7716.926845,8309.453647,9066.054896,9893.445133,9837.764165,10018.86004,10199.12424,9946.830265,10145.91938,10909.37663,11141.2011,11949.53406,11341.33259,11996.36634,12850.2005,10818.02494,11973.86791
DNK,18233.9461,19063.7439,19814.14336,20218.49904,21678.08448,22684.25267,23734.83156,24928.40293,25814.05912,26653.8239,28658.12496,29437.31034,30640.34562,30820.38922,32938.6921,34150.15946,37334.39016,39006.20232,41278.32683,40331.40688,43003.05459,44403.38484,44803.96824,46726.85414,47901.44736,49045.33919,51976.00571,55356.68078,57482.9624,58700.97467,60229.91477,64651.21645
DOM,3664.342662,3752.011408,4188.659044,4519.465576,4651.416398,4931.956166,5233.116053,5701.968318,6055.916273,6405.566857,6752.448206,6969.677086,7289.345975,7229.32284,7508.865442,8360.0739,9284.758231,10111.03505,10501.62864,10536.74837,11411.60429,11869.12309,11900.48501,12482.16212,13475.01117,14740.82687,16109.86367,16735.36442,18134.93226,19190.00888,17934.19325,20769.18082
DZA,6908.881613,6885.315356,7002.451821,6863.704549,6804.794427,7075.068545,7369.655682,7457.764603,7808.255833,8056.75976,8436.99096,8770.253502,9286.56088,10022.96478,10594.04572,11411.19178,11788.56019,12326.07701,12655.21847,12719.17915,13096.88473,13500.04479,13303.32752,13056.80259,13003.26686,12015.64053,11624.34078,11737.40124,11908.53761,12008.26483,11323.31222,12037.48124
EAP,1453.886069,1593.979277,1771.597016,1975.784996,2195.653168,2425.219312,2653.879692,2846.745468,2869.091388,3046.010515,3309.909965,3570.133367,3868.139195,4243.188856,4697.532359,5257.633455,5936.089698,6760.625219,7400.893255,7941.578484,8743.26418,9589.023608,10383.92247,10968.67989,11473.70939,11794.32213,12314.03871,12987.36998,14055.48801,15034.14597,15263.90493,16904.90536
